1)tuId	2)tuName	3)operonId	4)operonName	5)tuGenesIds	6)tuGenesNames	7)promoterId	8)promoterName	9)promoterPos	10)terminatorIds	11)sigmaFactor	12)tfsIds	13)tfsNames	14)tuGenesBnumber	15)firstGenePos	16)lastGenePos	17)terminatorPositions	18)DBXRef 
RDBECOLITUC01243	fre	RDBECOLIOPC01569	fre	RDBECOLIGNC00328	fre	RDBECOLIPMC00185	frep1	4026443					b3844	4026527	4027228		Ecocyc:TU0-14055 
RDBECOLITUC01244	pepQ-yigZ-trkH-hemG	RDBECOLIOPC02041	pepQ-yigZ-trkH-hemG	RDBECOLIGNC01440,RDBECOLIGNC01009,RDBECOLIGNC01439,RDBECOLIGNC00689	hemG;trkH;yigZ;pepQ	RDBECOLIPMC00187	pepQp	4031147					b3850;b3849;b3848;b3847	4031161	4035153		Ecocyc:TU0-14056 
RDBECOLITUC01245	yihD	RDBECOLIOPC01028	yihD	RDBECOLIGNC01759	yihD	RDBECOLIPMC00188	yihDp	4042049					b3858	4042069	4042338		Ecocyc:TU0-14057 
RDBECOLITUC01246	yihF	RDBECOLIOPC00145	yihF	RDBECOLIGNC01761	yihF								b3861	4044199	4045629		Ecocyc:TU0-14058 
RDBECOLITUC01247	yihI	RDBECOLIOPC01686	yihI	RDBECOLIGNC01763	yihI	RDBECOLIPMC00495	yihIp	4051308		sigma70			b3866	4051347	4051856		Ecocyc:TU0-14060 
RDBECOLITUC01248	bipA	RDBECOLIOPC00735	bipA	RDBECOLIGNC01765	bipA								b3871	4058407	4060230		Ecocyc:TU0-14061 
RDBECOLITUC01249	yihLM	RDBECOLIOPC02392	yihLM	RDBECOLIGNC01767,RDBECOLIGNC01766	yihM;yihL								b3873;b3872	4060447	4062145		Ecocyc:TU0-14062 
RDBECOLITUC01250	yihN	RDBECOLIOPC01341	yihN	RDBECOLIGNC01768	yihN								b3874	4062247	4063512		Ecocyc:TU0-14063 
RDBECOLITUC01251	ompL	RDBECOLIOPC00455	ompL	RDBECOLIGNC04562	ompL								b3875	4064295	4063603		Ecocyc:TU0-14064 
RDBECOLITUC01252	yihPO	RDBECOLIOPC01981	yihPO	RDBECOLIGNC01770,RDBECOLIGNC01769	yihP;yihO								b3877;b3876	4067194	4064363		Ecocyc:TU0-14065 
RDBECOLITUC01253	yihQ	RDBECOLIOPC00974	yihQ	RDBECOLIGNC01771	yihQ								b3878	4069276	4067240		Ecocyc:TU0-14066 
RDBECOLITUC01254	yihR	RDBECOLIOPC00180	yihR	RDBECOLIGNC01772	yihR								b3879	4070401	4069475		Ecocyc:TU0-14067 
RDBECOLITUC01255	yihUTS	RDBECOLIOPC02899	yihUTS	RDBECOLIGNC01775,RDBECOLIGNC01774,RDBECOLIGNC01773	yihU;yihT;yihS	RDBECOLIPMC02551	yihUp1	4073586		sigma70			b3882;b3881;b3880	4073571	4070515		Ecocyc:TU0-14068 
RDBECOLITUC01256	yihV-csqR	RDBECOLIOPC02606	yihV-csqR	RDBECOLIGNC01777,RDBECOLIGNC01776	csqR;yihV	RDBECOLIPMC02234	yihVp1	4073712		sigma70	RDBECOLITFC00138	CsqR	b3884;b3883	4073739	4075454		Ecocyc:TU0-14069 
RDBECOLITUC01257	yihXY-dtd-fabY	RDBECOLIOPC02457	yihXY-dtd-fabY	RDBECOLIGNC01781,RDBECOLIGNC01780,RDBECOLIGNC01779,RDBECOLIGNC01778	fabY;dtd;yihY;yihX	RDBECOLIPMC00189	yihXp	4075548					b3888;b3887;b3886;b3885	4075553	4078438		Ecocyc:TU0-14070 
RDBECOLITUC01258	yiiE	RDBECOLIOPC01282	yiiE	RDBECOLIGNC01782	yiiE								b3889	4079291	4079509		Ecocyc:TU0-14071 
RDBECOLITUC01259	yiiF	RDBECOLIOPC00404	yiiF	RDBECOLIGNC01783	yiiF				RDBECOLITMC00199				b3890	4079751	4079969	4079990-4080025	Ecocyc:TU0-14072 
RDBECOLITUC01260	fdhD	RDBECOLIOPC02026	fdhD	RDBECOLIGNC01787	fdhD						RDBECOLITFC00135	Nac	b3895	4086016	4086849		Ecocyc:TU0-14073 
RDBECOLITUC01261	yiiG	RDBECOLIOPC01017	yiiG	RDBECOLIGNC01788	yiiG								b3896	4087002	4088057		Ecocyc:TU0-14074 
RDBECOLITUC01262	frvABXR	RDBECOLIOPC00134	frvABXR	RDBECOLIGNC01792,RDBECOLIGNC01791,RDBECOLIGNC01790,RDBECOLIGNC01789	frvA;frvB;frvX;frvR								b3900;b3899;b3898;b3897	4092823	4088107		Ecocyc:TU0-14075 
RDBECOLITUC01263	kdgT	RDBECOLIOPC01671	kdgT	RDBECOLIGNC01797	kdgT						RDBECOLITFC00080	GlaR	b3909	4101690	4102673		Ecocyc:TU0-14076 
RDBECOLITUC01264	yiiM	RDBECOLIOPC00724	yiiM	RDBECOLIGNC01798	yiiM								b3910	4102822	4103496		Ecocyc:TU0-14077 
RDBECOLITUC01265	fieF	RDBECOLIOPC02378	fieF	RDBECOLIGNC01800	fieF								b3915	4106469	4107371		Ecocyc:TU0-14078 
RDBECOLITUC01266	sbp	RDBECOLIOPC01331	sbp	RDBECOLIGNC00917	sbp				RDBECOLITMC00205				b3917	4108834	4109823	4109830-4109884	Ecocyc:TU0-14080 
RDBECOLITUC01267	yiiQ	RDBECOLIOPC00444	yiiQ	RDBECOLIGNC01801	yiiQ								b3920	4112214	4111615		Ecocyc:TU0-14081 
RDBECOLITUC01268	yiiR	RDBECOLIOPC01966	yiiR	RDBECOLIGNC01802	yiiR								b3921	4112315	4112755		Ecocyc:TU0-14082 
RDBECOLITUC01269	priA	RDBECOLIOPC00963	priA	RDBECOLIGNC00753	priA								b3935	4126810	4124612		Ecocyc:TU0-14087 
RDBECOLITUC01270	yiiX	RDBECOLIOPC00169	yiiX	RDBECOLIGNC01809	yiiX								b3937	4127894	4127286		Ecocyc:TU0-14088 
RDBECOLITUC01271	yijE	RDBECOLIOPC01610	yijE	RDBECOLIGNC01828	yijE								b3943	4136108	4137013		Ecocyc:TU0-14089 
RDBECOLITUC01272	yijF	RDBECOLIOPC00672	yijF	RDBECOLIGNC01829	yijF								b3944	4137657	4137040		Ecocyc:TU0-14090 
RDBECOLITUC01273	ptsA-fsaB-gldA	RDBECOLIOPC02439	ptsA-fsaB-gldA	RDBECOLIGNC01832,RDBECOLIGNC01831,RDBECOLIGNC01830	ptsA;fsaB;gldA								b3947;b3946;b3945	4142221	4137932		Ecocyc:TU0-14091 
RDBECOLITUC01274	frwCB	RDBECOLIOPC01269	frwCB	RDBECOLIGNC01834,RDBECOLIGNC01833	frwB;frwC								b3950;b3949	4142530	4143944		Ecocyc:TU0-14092 
RDBECOLITUC01275	yijO	RDBECOLIOPC00391	yijO	RDBECOLIGNC01838	yijO						RDBECOLITFC00135	Nac	b3954	4148317	4147466		Ecocyc:TU0-14093 
RDBECOLITUC01276	eptC	RDBECOLIOPC02011	eptC	RDBECOLIGNC01839	eptC								b3955	4150265	4148532		Ecocyc:TU0-14094 
RDBECOLITUC01277	fabR-yijD	RDBECOLIOPC01002	fabR-yijD	RDBECOLIGNC01361,RDBECOLIGNC01360	yijD;fabR								b3964;b3963	4161067	4162130		Ecocyc:TU0-14097 
RDBECOLITUC01278	murB-birA	RDBECOLIOPC00124	murB-birA	RDBECOLIGNC00119,RDBECOLIGNC01184	birA;murB								b3973;b3972	4172057	4174047		Ecocyc:TU0-14099 
RDBECOLITUC01279	sroH	RDBECOLIOPC01658	sroH	RDBECOLIGNC02925	sroH	RDBECOLIPMC03107	sroHp	4190487					b4691	4190487	4190327		Ecocyc:TU0-14101 
RDBECOLITUC01280	nudC-hemE-nfi	RDBECOLIOPC00711	nudC-hemE-nfi	RDBECOLIGNC01840,RDBECOLIGNC01496,RDBECOLIGNC01643	nfi;hemE;nudC								b3998;b3997;b3996	4196903	4199461		Ecocyc:TU0-14103 
RDBECOLITUC01281	yjaG	RDBECOLIOPC02361	yjaG	RDBECOLIGNC01841	yjaG								b3999	4199504	4200094		Ecocyc:TU0-14104 
RDBECOLITUC01282	yjaA	RDBECOLIOPC01317	yjaA	RDBECOLIGNC01185	yjaA								b4011	4213234	4213617		Ecocyc:TU0-14105 
RDBECOLITUC01283	arpA	RDBECOLIOPC00434	arpA	RDBECOLIGNC01187	arpA								b4017	4222487	4220301		Ecocyc:TU0-14106 
RDBECOLITUC01284	yjbB	RDBECOLIOPC01952	yjbB	RDBECOLIGNC01844	yjbB	RDBECOLIPMC00192	yjbBp	4227602					b4020	4227731	4229362		Ecocyc:TU0-14107 
RDBECOLITUC01285	yjbD	RDBECOLIOPC00953	yjbD	RDBECOLIGNC01847	yjbD								b4023	4231631	4231359		Ecocyc:TU0-14108 
RDBECOLITUC01286	yjbE	RDBECOLIOPC02901	yjbEFGH	RDBECOLIGNC01848	yjbE	RDBECOLIPMC03033	yjbEp1	4235858	RDBECOLITMC00028	sigma70	RDBECOLITFC00211,RDBECOLITFC00117	IHF,RcsAB	b4026	4235906	4236148	4236159-4236209	Ecocyc:TU0-14111 
RDBECOLITUC01287	yjbFGH	RDBECOLIOPC02901	yjbEFGH	RDBECOLIGNC01851,RDBECOLIGNC01850,RDBECOLIGNC01849	yjbH;yjbG;yjbF								b4029;b4028;b4027	4236262	4239730		Ecocyc:TU0-14112 
RDBECOLITUC01288	xylE	RDBECOLIOPC00660	xylE	RDBECOLIGNC01064	xylE	RDBECOLIPMC02556	xylEp	4242291	RDBECOLITMC00178	sigma70	RDBECOLITFC00189,RDBECOLITFC00090,RDBECOLITFC00090	CRP,XylR,XylR	b4031	4242254	4240779	4240734-4240777	Ecocyc:TU0-14113 
RDBECOLITUC01289	yjbI	RDBECOLIOPC02421	yjbI	RDBECOLIGNC01852	yjbI								b4038	4250703	4252283		Ecocyc:TU0-14114 
RDBECOLITUC01290	dgkA	RDBECOLIOPC01259	dgkA	RDBECOLIGNC00218	dgkA	RDBECOLIPMC00193	dgkAp2	4256608					b4042	4256637	4257005		Ecocyc:TU0-14115 
RDBECOLITUC01291	yjbJ	RDBECOLIOPC00382	yjbJ	RDBECOLIGNC01853	yjbJ						RDBECOLITFC00013	FliZ	b4045	4259237	4259446		Ecocyc:TU0-14116 
RDBECOLITUC01292	yjbLM	RDBECOLIOPC02001	yjbLM	RDBECOLIGNC01856,RDBECOLIGNC01855	yjbM;yjbL								b4048;b4047	4260321	4261306		Ecocyc:TU0-14117 
RDBECOLITUC01293	dusA	RDBECOLIOPC00992	dusA	RDBECOLIGNC01857	dusA								b4049	4261669	4262706		Ecocyc:TU0-14118 
RDBECOLITUC01294	dnaB	RDBECOLIOPC00113	dnaB	RDBECOLIGNC00230	dnaB	RDBECOLIPMC00195	dnaBp	4264283					b4052	4264314	4265729		Ecocyc:TU0-14119 
RDBECOLITUC01295	alr	RDBECOLIOPC02704	alr	RDBECOLIGNC00001	alr	RDBECOLIPMC00196	alrp1	4265589					b4053	4265782	4266861		Ecocyc:TU0-14120 
RDBECOLITUC01296	aphA	RDBECOLIOPC00698	aphA	RDBECOLIGNC01859	aphA								b4055	4269414	4270127		Ecocyc:TU0-14121 
RDBECOLITUC01297	yjbQR	RDBECOLIOPC02343	yjbQR	RDBECOLIGNC01861,RDBECOLIGNC01860	yjbR;yjbQ	RDBECOLIPMC00198	yjbQp	4270214	RDBECOLITMC00232		RDBECOLITFC00077	GadE	b4057;b4056	4270238	4271014	4271007-4271061	Ecocyc:TU0-14122 
RDBECOLITUC01298	ghxP	RDBECOLIOPC01301	ghxP	RDBECOLIGNC01864	ghxP	RDBECOLIPMC00569	ghxPp	4278321					b4064	4278479	4279828		Ecocyc:TU0-14123 
RDBECOLITUC01299	yjcE	RDBECOLIOPC00422	yjcE	RDBECOLIGNC01865	yjcE								b4065	4279980	4281629		Ecocyc:TU0-14124 
RDBECOLITUC01300	yjcF	RDBECOLIOPC01936	yjcF	RDBECOLIGNC01866	yjcF						RDBECOLITFC00135	Nac	b4066	4283075	4281783		Ecocyc:TU0-14125 
RDBECOLITUC01301	gltP	RDBECOLIOPC00941	gltP	RDBECOLIGNC00398	gltP						RDBECOLITFC00135	Nac	b4077	4294481	4295794		Ecocyc:TU0-14126 
RDBECOLITUC01302	yjcO	RDBECOLIOPC00151	yjcO	RDBECOLIGNC01875	yjcO						RDBECOLITFC00135	Nac	b4078	4297125	4296436		Ecocyc:TU0-14127 
RDBECOLITUC01303	mdtNOP	RDBECOLIOPC01581	mdtNOP	RDBECOLIGNC01878,RDBECOLIGNC01877,RDBECOLIGNC01876	mdtN;mdtO;mdtP								b4082;b4081;b4080	4304109	4299564		Ecocyc:TU0-14128 
RDBECOLITUC01304	yjcS	RDBECOLIOPC00647	yjcS	RDBECOLIGNC01879	yjcS	RDBECOLIPMC03021	yjcSp			sigma28			b4083	4306597	4304612		Ecocyc:TU0-14129 
RDBECOLITUC01305	yjdP	RDBECOLIOPC02403	yjdP	RDBECOLIGNC02927	yjdP								b4487	4313868	4314197		Ecocyc:TU0-14130 
RDBECOLITUC01306	yjdN	RDBECOLIOPC01246	yjdN	RDBECOLIGNC00703	yjdN								b4107	4325741	4325298		Ecocyc:TU0-14131 
RDBECOLITUC01307	yjdM	RDBECOLIOPC00371	yjdM	RDBECOLIGNC00702	yjdM								b4108	4326734	4326399		Ecocyc:TU0-14132 
RDBECOLITUC01308	rdcAB	RDBECOLIOPC02631	rdcAB	RDBECOLIGNC04566,RDBECOLIGNC01189	rdcB;rdcA	RDBECOLIPMC00351	rdcAp2	4327064		sigma28			b4110;b4109	4327135	4330238		Ecocyc:TU0-14133 
RDBECOLITUC01309	adiC	RDBECOLIOPC00978	adiC	RDBECOLIGNC02301	adiC	RDBECOLIPMC02298	adiCp7	4337202		sigma32	RDBECOLITFC00123,RDBECOLITFC00202	GadRcs,PhoB	b4115	4337031	4335694		Ecocyc:TU0-14134 
RDBECOLITUC01310	yjdF	RDBECOLIOPC00098	yjdF	RDBECOLIGNC04567	yjdF								b4121	4345558	4344929		Ecocyc:TU0-14136 
RDBECOLITUC01311	yjdIJ	RDBECOLIOPC01628	yjdIJ	RDBECOLIGNC04571,RDBECOLIGNC04570	yjdJ;yjdI								b4127;b4126	4351843	4352357		Ecocyc:TU0-14137 
RDBECOLITUC01312	dtpC	RDBECOLIOPC00689	dtpC	RDBECOLIGNC02302	dtpC								b4130	4356411	4354954		Ecocyc:TU0-14139 
RDBECOLITUC01313	dsbD-yjdC	RDBECOLIOPC02325	dsbD-yjdC	RDBECOLIGNC02066,RDBECOLIGNC02064	dsbD;dicD								b4136;b4135	4365042	4362733		Ecocyc:TU0-14140 
RDBECOLITUC01314	yjeI	RDBECOLIOPC01286	yjeI	RDBECOLIGNC04575	yjeI	RDBECOLIPMC00203	yjeIp	4372761					b4144	4372809	4373162		Ecocyc:TU0-14141 
RDBECOLITUC01315	yjeJ	RDBECOLIOPC00410	yjeJ	RDBECOLIGNC04576	yjeJ						RDBECOLITFC00135	Nac	b4145	4374234	4373365		Ecocyc:TU0-14142 
RDBECOLITUC01316	epmB	RDBECOLIOPC01921	epmB	RDBECOLIGNC04577	epmB								b4146	4375657	4374629		Ecocyc:TU0-14143 
RDBECOLITUC01317	ecnAB	RDBECOLIOPC02711	ecnAB	RDBECOLIGNC02929,RDBECOLIGNC02862	ecnB;ecnA								b4411;b4410	4376317	4376699		Ecocyc:TU0-14145 
RDBECOLITUC01318	epmA	RDBECOLIOPC00139	epmA	RDBECOLIGNC01190	epmA	RDBECOLIPMC00204	epmAp	4382618					b4155	4382643	4383620		Ecocyc:TU0-14146 
RDBECOLITUC01319	yjeM	RDBECOLIOPC01563	yjeM	RDBECOLIGNC02303	yjeM								b4156	4383839	4385341		Ecocyc:TU0-14147 
RDBECOLITUC01320	yjeNO	RDBECOLIOPC00638	yjeNO	RDBECOLIGNC04580,RDBECOLIGNC04579	yjeO;yjeN								b4158;b4157	4385393	4386018		Ecocyc:TU0-14148 
RDBECOLITUC01321	rsgA	RDBECOLIOPC02384	rsgA	RDBECOLIGNC04582	rsgA						RDBECOLITFC00080	GlaR	b4161	4391509	4390457		Ecocyc:TU0-14150 
RDBECOLITUC01322	orn	RDBECOLIOPC01231	orn	RDBECOLIGNC04583	orn						RDBECOLITFC00080	GlaR	b4162	4391604	4392149		Ecocyc:TU0-14151 
RDBECOLITUC01323	yjeT	RDBECOLIOPC00360	yjeT	RDBECOLIGNC04585	yjeT								b4176	4404386	4404583		Ecocyc:TU0-14152 
RDBECOLITUC01324	yjfIJ	RDBECOLIOPC01969	nsrR-rnr-rlmB-yjfI	RDBECOLIGNC04588,RDBECOLIGNC04587	yjfJ;yjfI								b4182;b4181	4410133	4411251		Ecocyc:TU0-14153 
RDBECOLITUC01325	yjfKLMC	RDBECOLIOPC00969	yjfKLMC	RDBECOLIGNC01743,RDBECOLIGNC04591,RDBECOLIGNC04590,RDBECOLIGNC04589	yjfC;yjfM;yjfL;yjfK	RDBECOLIPMC03206	yjfKp						b4186;b4185;b4184;b4183	4411302	4414191		Ecocyc:TU0-14154 
RDBECOLITUC01326	yjfN	RDBECOLIOPC00089	yjfN	RDBECOLIGNC04592	yjfN						RDBECOLITFC00170	CpxR	b4188	4416292	4416017		Ecocyc:TU0-14155 
RDBECOLITUC01327	bsmA	RDBECOLIOPC01615	bsmA	RDBECOLIGNC04593	bsmA	RDBECOLIPMC02524	bsmAp	4416869		sigma38			b4189	4416770	4416441		Ecocyc:TU0-14156 
RDBECOLITUC01328	ulaR	RDBECOLIOPC00679	ulaR	RDBECOLIGNC04595	ulaR								b4191	4418453	4417698		Ecocyc:TU0-14157 
RDBECOLITUC01329	fklB	RDBECOLIOPC02305	fklB	RDBECOLIGNC04605	fklB						RDBECOLITFC00135	Nac	b4207	4428935	4429555		Ecocyc:TU0-14158 
RDBECOLITUC01330	cycA	RDBECOLIOPC01274	cycA	RDBECOLIGNC02306	cycA	RDBECOLIPMC00207	cycAp	4429780					b4208	4429864	4431276		Ecocyc:TU0-14159 
RDBECOLITUC01331	ytfF	RDBECOLIOPC00401	ytfF	RDBECOLIGNC04607	ytfF								b4210	4433056	4432091		Ecocyc:TU0-14160 
RDBECOLITUC01332	qorB	RDBECOLIOPC01907	qorB	RDBECOLIGNC04608	qorB								b4211	4434024	4433164		Ecocyc:TU0-14161 
RDBECOLITUC01333	cysQ	RDBECOLIOPC00920	cysQ	RDBECOLIGNC00039	cysQ						RDBECOLITFC00135	Nac	b4214	4436755	4437495		Ecocyc:TU0-14162 
RDBECOLITUC01334	ytfI	RDBECOLIOPC00128	ytfI	RDBECOLIGNC04610	ytfI								b4215	4437707	4438645		Ecocyc:TU0-14163 
RDBECOLITUC01335	ytfL	RDBECOLIOPC01547	ytfL	RDBECOLIGNC04613	paeA								b4218	4441215	4439872		Ecocyc:TU0-14164 
RDBECOLITUC01336	tamAB-ytfP	RDBECOLIOPC00625	tamAB-ytfP	RDBECOLIGNC04616,RDBECOLIGNC04615,RDBECOLIGNC04614	ytfP;tamB;tamA								b4222;b4221;b4220	4442382	4448235		Ecocyc:TU0-14165 
RDBECOLITUC01337	ytfQRT-yjfF	RDBECOLIOPC02366	ytfQRT-yjfF	RDBECOLIGNC02288,RDBECOLIGNC02309,RDBECOLIGNC02308,RDBECOLIGNC02307	yjfF;ytfT;ytfR;ytfQ						RDBECOLITFC00022	AraC	b4231;b4230;b4485;b4227	4449962	4454578		Ecocyc:TU0-14166 
RDBECOLITUC01338	tldE	RDBECOLIOPC01218	tldE	RDBECOLIGNC00731	tldE	RDBECOLIPMC00209	tldEp	4457945					b4235	4457959	4459311		Ecocyc:TU0-14167 
RDBECOLITUC01339	cybC	RDBECOLIOPC00349	cybC	RDBECOLIGNC02562	cybC								b4236	4459488	4459855		Ecocyc:TU0-14168 
RDBECOLITUC01340	ridA	RDBECOLIOPC01953	ridA	RDBECOLIGNC04617	ridA	RDBECOLIPMC00210	ridAp	4470946			RDBECOLITFC00014	Lrp	b4243	4470913	4470527		Ecocyc:TU0-14169 
RDBECOLITUC01341	yjgH	RDBECOLIOPC00957	yjgH	RDBECOLIGNC04619	yjgH								b4248	4473209	4472814		Ecocyc:TU0-14170 
RDBECOLITUC01342	bdcA	RDBECOLIOPC00079	bdcA	RDBECOLIGNC04620	bdcA	RDBECOLIPMC00309	bdcAp	4474064		sigma70	RDBECOLITFC00038	NsrR	b4249	4474053	4473340		Ecocyc:TU0-14171 
RDBECOLITUC01343	bdcR	RDBECOLIOPC01599	bdcR	RDBECOLIGNC04622	bdcR						RDBECOLITFC00080	GlaR	b4251	4474124	4474717		Ecocyc:TU0-14172 
RDBECOLITUC01344	tabA	RDBECOLIOPC00665	tabA	RDBECOLIGNC04623	tabA								b4252	4474862	4475314		Ecocyc:TU0-14173 
RDBECOLITUC01345	yjgL	RDBECOLIOPC02288	yjgL	RDBECOLIGNC04624	yjgL								b4253	4475437	4477251		Ecocyc:TU0-14174 
RDBECOLITUC01346	pepA	RDBECOLIOPC03333	pepA	RDBECOLIGNC00685	pepA	RDBECOLIPMC00279	pepAp1	4486139		sigma70	RDBECOLITFC00172	PepA	b4260	4485951	4484440		Ecocyc:TU0-14175 
RDBECOLITUC01347	lptFG	RDBECOLIOPC00386	lptFG	RDBECOLIGNC04629,RDBECOLIGNC04628	lptG;lptF								b4262;b4261	4486218	4488400		Ecocyc:TU0-14176 
RDBECOLITUC01348	yjgR	RDBECOLIOPC01891	yjgR	RDBECOLIGNC04630	yjgR								b4263	4490063	4488561		Ecocyc:TU0-14177 
RDBECOLITUC01349	intB	RDBECOLIOPC00907	intB	RDBECOLIGNC02227	intB								b4271	4496750	4497940		Ecocyc:TU0-14178 
RDBECOLITUC01350	insC6CD6D6	RDBECOLIOPC00118	insC6CD6D6	RDBECOLIGNC04635,RDBECOLIGNC04634,RDBECOLIGNC02632	insD6;insC6;insCD6								b4273;b4272	4498272	4499500		Ecocyc:TU0-14179 
RDBECOLITUC01351	yjgX	RDBECOLIOPC01532	yjgX	RDBECOLIGNC04637	yjgX								b4575	4500791	4499593		Ecocyc:TU0-14182 
RDBECOLITUC01352	nanXY	RDBECOLIOPC01406	nanXY	RDBECOLIGNC04640,RDBECOLIGNC02313	nanY;nanX	RDBECOLIPMC02350	yjhBp2	4504020		sigma32	RDBECOLITFC00154,RDBECOLITFC00154,RDBECOLITFC00154	NanR,NanR,NanR	b4280;b4279	4504058	4506405		Ecocyc:TU0-14183 
RDBECOLITUC01353	yjhE	RDBECOLIOPC02346	yjhE	RDBECOLIGNC04642	yjhE								b4282	4506861	4507109		Ecocyc:TU0-14184 
RDBECOLITUC01354	insN-2	RDBECOLIOPC03569	insN-2	RDBECOLIGNC04643	insO	RDBECOLIPMC03186	insNp						b4623	4507197	4509793		Ecocyc:TU0-14185 
RDBECOLITUC01355	insMI3	RDBECOLIOPC00337	insMI3	RDBECOLIGNC02640,RDBECOLIGNC04644	insM;insI3								b4561;b4284	4508942	4507466		Ecocyc:TU0-14186 
RDBECOLITUC01356	yjhV	RDBECOLIOPC01935	yjhV	RDBECOLIGNC04645	yjhV								b4286	4509804	4510133		Ecocyc:TU0-14188 
RDBECOLITUC01357	insB7	RDBECOLIOPC00945	insB7	RDBECOLIGNC02641	insB7								b4576	4518721	4519224		Ecocyc:TU0-14189 
RDBECOLITUC01358	yjhU	RDBECOLIOPC00067	yjhU	RDBECOLIGNC04647	yjhU								b4295	4520324	4519338		Ecocyc:TU0-14190 
RDBECOLITUC01359	yjhF	RDBECOLIOPC01583	yjhF	RDBECOLIGNC02314	yjhF								b4296	4522020	4520671		Ecocyc:TU0-14191 
RDBECOLITUC01360	yjhIHG	RDBECOLIOPC00652	yjhIHG	RDBECOLIGNC04650,RDBECOLIGNC04649,RDBECOLIGNC04648	yjhI;yjhH;yjhG	RDBECOLIPMC03244	yjhIp	4525888		sigma32	RDBECOLITFC00189	CRP	b4299;b4298;b4297	4525803	4522127		Ecocyc:TU0-14192 
RDBECOLITUC01361	sgcXBCQAER	RDBECOLIOPC02270	sgcXBCQAER	RDBECOLIGNC02317,RDBECOLIGNC02568,RDBECOLIGNC02316,RDBECOLIGNC04653,RDBECOLIGNC02315,RDBECOLIGNC04652,RDBECOLIGNC04651	sgcX;sgcB;sgcC;sgcQ;sgcA;sgcE;sgcR						RDBECOLITFC00136,RDBECOLITFC00136,RDBECOLITFC00189	SlyA,SlyA,CRP	b4305;b4565;b4304;b4303;b4302;b4301;b4300	4531651	4526106		Ecocyc:TU0-14193 
RDBECOLITUC01362	yjhP	RDBECOLIOPC01249	yjhP	RDBECOLIGNC04654	yjhP								b4306	4533183	4532437		Ecocyc:TU0-14194 
RDBECOLITUC01363	topAI-yjhQ	RDBECOLIOPC00376	topAI-yjhQ	RDBECOLIGNC02610,RDBECOLIGNC04655	topAI;yjhQ								b4566;b4307	4534053	4533239		Ecocyc:TU0-14195 
RDBECOLITUC01364	nanS	RDBECOLIOPC03035	nanCMS	RDBECOLIGNC04657	nanS								b4309	4537594	4536614		Ecocyc:TU0-14196 
RDBECOLITUC01365	hypT	RDBECOLIOPC00893	hypT	RDBECOLIGNC04662	hypT								b4327	4558289	4557378		Ecocyc:TU0-14198 
RDBECOLITUC01366	yjiHG-iadA	RDBECOLIOPC00104	yjiHG-iadA	RDBECOLIGNC04665,RDBECOLIGNC04664,RDBECOLIGNC04663	yjiH;yjiG;iadA								b4330;b4329;b4328	4560680	4558354		Ecocyc:TU0-14199 
RDBECOLITUC01367	yjiJ	RDBECOLIOPC01518	yjiJ	RDBECOLIGNC04667	yjiJ								b4332	4562675	4561497		Ecocyc:TU0-14200 
RDBECOLITUC01368	yjiK	RDBECOLIOPC00596	yjiK	RDBECOLIGNC04668	yjiK								b4333	4563603	4562743		Ecocyc:TU0-14201 
RDBECOLITUC01369	yjiML	RDBECOLIOPC02328	yjiML	RDBECOLIGNC04670,RDBECOLIGNC04669	yjiM;yjiL								b4335;b4334	4565850	4563922		Ecocyc:TU0-14202 
RDBECOLITUC01370	mdtM-yjiN	RDBECOLIOPC01194	mdtM-yjiN	RDBECOLIGNC02319,RDBECOLIGNC04671	mdtM;yjiN						RDBECOLITFC00136	SlyA	b4337;b4336	4568519	4565966		Ecocyc:TU0-14203 
RDBECOLITUC01371	rpnD	RDBECOLIOPC00325	rpnD	RDBECOLIGNC04672	rpnD								b4584	4568998	4569918		Ecocyc:TU0-14204 
RDBECOLITUC01372	yjiS	RDBECOLIOPC01920	yjiS	RDBECOLIGNC04674	yjiS								b4341	4571751	4571915		Ecocyc:TU0-14205 
RDBECOLITUC01373	yjiT	RDBECOLIOPC00934	yjiT	RDBECOLIGNC04675	yjiT	RDBECOLIPMC03233	yjiTp			sigma32			b4342	4572414	4573931		Ecocyc:TU0-14206 
RDBECOLITUC01374	yjiV	RDBECOLIOPC00057	yjiV	RDBECOLIGNC01352	yjiV								b4486	4574135	4576855		Ecocyc:TU0-14207 
RDBECOLITUC01375	yjiXA	RDBECOLIOPC01566	yjiXA	RDBECOLIGNC04677,RDBECOLIGNC00018	yjiX;yjiA	RDBECOLIPMC03208	yjiXp						b4353;b4352	4589079	4587909		Ecocyc:TU0-14208 
RDBECOLITUC01376	lgoT	RDBECOLIOPC02252	lgoT	RDBECOLIGNC02320	lgoT								b4356	4594722	4593361		Ecocyc:TU0-14210 
RDBECOLITUC01377	lgoR	RDBECOLIOPC01233	lgoR	RDBECOLIGNC04679	lgoR	RDBECOLIPMC02385	lgoRp4	4595947		sigma24	RDBECOLITFC00142,RDBECOLITFC00001,RDBECOLITFC00189	UxuR,ExuR,CRP	b4357	4595851	4594937		Ecocyc:TU0-14211 
RDBECOLITUC01378	opgB	RDBECOLIOPC00364	opgB	RDBECOLIGNC02321	opgB								b4359	4599441	4597150		Ecocyc:TU0-14212 
