Gene Name	Accession-1	Left-End-Position	Right-End-Position	Accession-2	Product	Names	Object ID	Regulation - genes directly activated by gene	Accession-1	Regulation - genes directly inhibited by gene	Accession-1	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Transcription Units
ypjA	b2647	2778146	2782726	ECK2644	adhesin-like autotransporter YpjA	ypjA // b2647 // ECK2644	G7382					cell adhesion	outer membrane // cell outer membrane // extracellular region		ypjA
elaD	b2269	2382713	2383924	ECK2263	protease ElaD	elaD // b2269 // ECK2263	G7176					protein desumoylation // proteolysis // protein deubiquitination	cytosol	deSUMOylase activity // cysteine-type peptidase activity	elaD
paaI	b1396	1460471	1460893	ECK1393	phenylacetyl-CoA thioesterase	paaI // ydbV // b1396 // ECK1393	G6717					phenylacetate catabolic process	cytosol	thiolester hydrolase activity // hydrolase activity // acyl-CoA hydrolase activity	paaABCDEFGHIJK
fimI	b4315	4543728	4544267	ECK4306	putative fimbrial protein FimI	fimI // b4315 // ECK4306	EG11974					cell adhesion involved in single-species biofilm formation // cell adhesion // pilus assembly	pilus // extracellular region		fimAICDFGH
yfbU	b2294	2412100	2412594	ECK2288	PF03887 family protein YfbU	yfbU // b2294 // ECK2288	G7188					DNA damage response	cytosol	identical protein binding	yfbU-hxpA
purH	b4006	4205943	4207532	ECK3998	bifunctional AICAR transformylase/IMP cyclohydrolase	purH // b4006 // ECK3998	EG10795					'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process	cytosol	hydrolase activity // transferase activity // phosphoribosylaminoimidazolecarboxamide formyltransferase activity // IMP cyclohydrolase activity	purHD
quuD	b0551	573956	574339	ECK0543	DLP12 prophage; prophage antitermination protein Q homolog QuuD	quuD // ybcQ // b0551 // ECK0543	G6307					negative regulation of termination of DNA-templated transcription // single-species biofilm formation // transcription antitermination	cytosol	DNA binding	ybcQ
yiaY	b3589	3756676	3757827	ECK3578	L-threonine dehydrogenase	yiaY // b3589 // ECK3578	EG12293						cytosol	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // metal ion binding // oxidoreductase activity // alcohol dehydrogenase (NAD+) activity // L-threonine 3-dehydrogenase activity	yiaY
ygiV	b3023	3168749	3169231	ECK3014	DNA-binding transcriptional repressor YgiV	ygiV // b3023 // ECK3014	G7573			mcbR	b1450	negative regulation of DNA-templated transcription	cytosol		ygiV
wcaM	b2043	2114502	2115896	ECK2037	putative colanic acid biosynthesis protein WcaM	wcaM // yefK // b2043 // ECK2037	G7094					slime layer polysaccharide biosynthetic process // lipopolysaccharide biosynthetic process	cytosol		wcaKLM
purD	b4005	4204642	4205931	ECK3997	phosphoribosylamine--glycine ligase	purD // adth(a) // adth // b4005 // ECK3997	EG10792					purine nucleobase biosynthetic process // DNA damage response // 'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process	cytosol	catalytic activity // ATP hydrolysis activity // ligase activity // metal ion binding // ATP binding // phosphoribosylamine-glycine ligase activity	purHD
yebZ	b1840	1923719	1924591	ECK1841	CopD family protein	yebZ // b1840 // ECK1841	G7013					copper ion transport	membrane // plasma membrane		yobA-yebZY
tatD	b4483	4023554	4024336	ECK3833	3' &rarr; 5' ssDNA/RNA  exonuclease TatD	tatD // b3841 // yigX // b3840 // mttC // yigW // b4483 // ECK3833	EG11481					DNA metabolic process // response to hydrogen peroxide	cytoplasm // cytosol	magnesium ion binding // 3'-5' exonuclease activity // exonuclease activity // single-stranded DNA 3'-5' DNA exonuclease activity // 3'-5'-RNA exonuclease activity // metal ion binding // DNA nuclease activity	tatABC // tatD
agaI	b3141	3286270	3287025	ECK3129	putative deaminase AgaI	agaI // yraG // b3141 // ECK3129	G7636					N-acetylneuraminate catabolic process // N-acetylglucosamine catabolic process // glucosamine catabolic process // N-acetylglucosamine metabolic process // carbohydrate metabolic process	cytoplasm // cytosol	identical protein binding // hydrolase activity // glucosamine-6-phosphate deaminase activity // galactosamine-6-phosphate isomerase activity	agaSYBCDI
elfA	b0938	997868	998407	ECK0929	putative laminin-binding fimbrial subunit	elfA // ycbQ // b0938 // ECK0929	G6480					cell adhesion // cell adhesion involved in single-species biofilm formation	extracellular region // pilus		elfA
ynjA	b1753	1835515	1836063	ECK1751	AhpD-like domain-containing protein YnjA	ynjA // b1753 // ECK1751	G6948					cellular oxidant detoxification	plasma membrane	peroxiredoxin activity	ydjXYZ-ynjABCD
guaB	b2508	2632604	2634070	ECK2504	inosine 5'-monophosphate dehydrogenase	guaB // guaR // b2508 // ECK2504	EG10421					GTP biosynthetic process // purine nucleotide biosynthetic process // protein homotetramerization // response to UV // GMP biosynthetic process	protein-containing complex // cytosol	guanosine tetraphosphate binding // nucleotide binding // oxidoreductase activity // metal ion binding // C-rich single-stranded DNA binding // ATP binding // single-stranded DNA binding // identical protein binding // IMP dehydrogenase activity	guaBA
ykfI	b0245	263328	263669	ECK0246	CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system	ykfI // b0245 // ECK0246	G6120					negative regulation of cell growth	cytosol		ykfBF-yafX-ykfGH-yafW-ykfI // ykfBF-yafX-ykfGH-yafW-ykfI // ykfGH-yafW-ykfI // yafY-ykfBF-yafX-ykfGH-yafW-ykfI
ycjM	b1309	1370216	1371895	ECK1304	glucosylglycerate phosphorylase	ycjM // ggaP // b1309 // ECK1304	G6647					carbohydrate metabolic process	extracellular region // cytosol	glycosyltransferase activity // glucosylglycerate phosphorylase activity	ycjMNOPQRSTUV-ymjB-ompG
sutR	b1434	1506172	1506708	ECK1428	DNA-binding transcriptional dual regulator SutR	sutR // ydcN // b1434 // ECK1428	G6745	ypfN // sutR	b4547 // b1434	pfkB // cysE // tcyJ // fliZ // fliA // ydcO // sutR	b1723 // b3607 // b1920 // b1921 // b1922 // b1433 // b1434	regulation of DNA-templated transcription // negative regulation of DNA-templated transcription // positive regulation of DNA-templated transcription	cytosol	DNA-binding transcription factor activity // sequence-specific DNA binding // DNA binding	sutR
ypdI	b2376	2494698	2494973	ECK2372	colanic acid synthesis putative lipoprotein YpdI	ypdI // b2376 // ECK2372	G7239					colanic acid biosynthetic process	plasma membrane // outer membrane-bounded periplasmic space		ypdI
purT	b1849	1930881	1932059	ECK1850	phosphoribosylglycinamide formyltransferase 2	purT // b1849 // ECK1850	EG11809					purine ribonucleotide biosynthetic process // 'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process	cytosol // cytoplasm	catalytic activity // ligase activity // phosphoribosylglycinamide formyltransferase 2 activity // protein binding // phosphoribosylglycinamide formyltransferase activity // magnesium ion binding // metal ion binding // ATP binding // acetate kinase activity	purT
yneE	b1520	1608108	1609022	ECK1513	PF01062 family inner membrane protein YneE	yneE // b1520 // ECK1513	G6807					monoatomic ion transport // chloride transmembrane transport // bacterial-type flagellum-dependent swarming motility	plasma membrane	chloride channel activity	yneE
ycbZ	b0955	1016539	1018299	ECK0946	putative ATP-dependent protease YcbZ	ycbZ // b0955 // ECK0946	G6493					protein catabolic process // proteolysis	cytosol	ATP binding // serine-type endopeptidase activity // ATP-dependent peptidase activity // serine-type peptidase activity	ycbZ
fsaB	b3946	4139046	4139708	ECK3938	fructose-6-phosphate aldolase 2	fsaB // yijG // talC // b3946 // ECK3938	EG11905					ketone catabolic process // fructose metabolic process // carbohydrate metabolic process	cytoplasm // cytosol	identical protein binding // aldehyde-lyase activity // lyase activity // fructose 6-phosphate aldolase activity	ptsA-fsaB-gldA
sfmF	b0534	563330	563845	ECK0527	putative fimbrial protein SfmF	sfmF // ybcG // b0534 // ECK0527	EG12388					cell adhesion involved in single-species biofilm formation // cell adhesion	extracellular region // pilus		sfmHF
ycgV	b1202	1253085	1255952	ECK1190	putative autotransporter adhesin YcgV	ycgV // b1202 // ECK1190	G6629					cell adhesion // cell adhesion involved in biofilm formation	extracellular region // outer membrane		ycgV
purN	b2500	2622234	2622872	ECK2496	phosphoribosylglycinamide formyltransferase 1	purN // ade(c) // ade // b2500 // ECK2496	EG10799					DNA damage response // 'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process	cytoplasm // cytosol	catalytic activity // transferase activity // phosphoribosylglycinamide formyltransferase activity	purMN
kilR	b1352	1418008	1418229	ECK1350	Rac prophage; inhibitor of FtsZ	kilR // ydaD // kil // b1352 // ECK1350	EG12155					cell division // negative regulation of cell division // response to antibiotic	cytosol		kilR-ydaE
yqaB	b2690	2816937	2817503	ECK2685	fructose-1-phosphate phosphatase YqaB	yqaB // b2690 // ECK2685	G7408						cytosol	metal ion binding // hydrolase activity // beta-phosphoglucomutase activity // magnesium ion binding // phosphatase activity // sugar-phosphatase activity	yqaBA
ssrS	b2911	3055983	3056165	ECK2906	6S RNA	ssrS // ssr // b2911 // ECK2906	EG30099								ssrS-ygfA // ssrS // ssrS // ssrS // ssrS-ygfA // ssrS-ygfA
wzc	b2060	2133490	2135652	ECK2054	protein-tyrosine kinase Wzc	wzc // b2060 // ECK2054	G7105					phosphorylation // polysaccharide biosynthetic process // peptidyl-tyrosine autophosphorylation // colanic acid biosynthetic process	membrane // plasma membrane	ATP binding // identical protein binding // ATP hydrolysis activity // protein tyrosine kinase activity	wzbc // wza-wzb-wzc-wcaAB
purK	b0522	551527	552594	ECK0515	5-(carboxyamino)imidazole ribonucleotide synthase	purK // purE2 // b0522 // ECK0515	EG10796					'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process	cytosol	ligase activity // metal ion binding // phosphoribosylaminoimidazole carboxylase activity // protein homodimerization activity // 5-(carboxyamino)imidazole ribonucleotide synthase activity // ATP binding	purEK
yccF	b0961	1023902	1024348	ECK0952	PF03733 family inner membrane protein YccF	yccF // b0961 // ECK0952	G6496						plasma membrane		yccFS
rssB	b1235	1290242	1291255	ECK1230	RssB-P // regulator of RpoS	rssB // ychL // sprE // hnr // b1235 // ECK1230	EG12121					regulation of DNA-templated transcription // negative regulation of DNA-templated transcription // regulation of gene expression // phosphorelay signal transduction system // protein destabilization // positive regulation of proteolysis	sigma factor antagonist complex // protein-DNA complex // cytosol	transcription cis-regulatory region binding // phosphorelay response regulator activity // protein binding // sigma factor antagonist activity	rssAB // rssB
ghrA	b1033	1097886	1098824	ECK1019	glyoxylate/hydroxypyruvate reductase A	ghrA // ycdW // b1033 // ECK1019	G6539					cellular response to stress	cytoplasm // cytosol	hydroxypyruvate reductase (NADPH) activity // oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // hydroxypyruvate reductase (NADH) activity // NAD binding // oxidoreductase activity // hydroxypyruvate reductase [NAD(P)H] activity // glyoxylate reductase (NADPH) activity	ghrA
yfcV	b2339	2455083	2455646	ECK2333	putative fimbrial protein YfcV	yfcV // b2339 // ECK2333	G7210					cell adhesion involved in single-species biofilm formation // cell adhesion	extracellular region // pilus		yfcV
ybgS	b0753	784937	785317	ECK0742	PF13985 family protein YbgS	ybgS // b0753 // ECK0742	G6394						outer membrane-bounded periplasmic space		ybgS
purE	b0523	552591	553100	ECK0516	<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase	purE // ade(f) // Pur2 // ade3 // ade // b0523 // ECK0516	EG10793					'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process	cytosol	catalytic activity // isomerase activity // identical protein binding // 5-(carboxyamino)imidazole ribonucleotide mutase activity	purEK
hokD	b1562	1645119	1645274	ECK1556	Qin prophage; toxic protein HokD	hokD // relF // b1562 // ECK1556	EG11130						plasma membrane // membrane		relBE-hokD // hokD
yieK	b3718	3898671	3899393	ECK3711	putative glucosamine-6-phosphate deaminase YieK	yieK // b3718 // ECK3711	EG11728					N-acetylneuraminate catabolic process // N-acetylglucosamine catabolic process // glucosamine catabolic process // N-acetylglucosamine metabolic process // carbohydrate metabolic process	cytoplasm // cytosol	identical protein binding // glucosamine-6-phosphate deaminase activity	bglH-yieLK
maoP	b3764	3948086	3948424	ECK3757	macrodomain Ori protein	maoP // yifE // b3764 // ECK3757	EG11450					single-species biofilm formation // chromosome organization // chromosome segregation	cytosol		yifE
wcaC	b2057	2130853	2132070	ECK2051	colanic acid biosynthesis galactosyltransferase WcaC	wcaC // b2057 // ECK2051	G7102					slime layer polysaccharide biosynthetic process // lipopolysaccharide biosynthetic process // colanic acid biosynthetic process	cytosol	hexosyltransferase activity // transferase activity // UDP-galactosyltransferase activity // glycosyltransferase activity	wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC
purA	b4177	4404687	4405985	ECK4173	adenylosuccinate synthetase	purA // adeK // b4177 // ECK4173	EG10790					IMP metabolic process // 'de novo' AMP biosynthetic process // DNA damage response // adenosine biosynthetic process // nucleobase-containing small molecule interconversion // purine nucleotide biosynthetic process	membrane // cytoplasm // cytosol	guanosine tetraphosphate binding // magnesium ion binding // ligase activity // metal ion binding // GTP binding // protein binding // protein homodimerization activity // adenylosuccinate synthase activity	purA
yajQ	b0426	444683	445174	ECK0420	nucleotide binding protein YajQ	yajQ // b0426 // ECK0420	G6240					response to hydrogen peroxide // DNA damage response	cytosol	ATP binding // tRNA binding // nucleotide binding // protein binding // GTP binding	yajQ
smpB	b2620	2754896	2755378	ECK2616	SsrA-binding protein	smpB // smqB // b2620 // ECK2616	EG11782					trans-translation // trans-translation-dependent protein tagging	cytoplasm // cytosol	RNA binding	smpB
yfaU	b2245	2358042	2358845	ECK2238	2-keto-3-deoxy-L-rhamnonate aldolase	yfaU // b2245 // ECK2238	G7158					protein hexamerization	cytoplasm // cytosol	2-dehydro-3-deoxy-D-gluconate aldolase activity // magnesium ion binding // metal ion binding // lyase activity // protein binding // nickel cation binding // aldehyde-lyase activity // 2-keto-3-deoxy-L-rhamnonate aldolase activity // identical protein binding	yfaXWVU // yfaVU
yadN	b0141	156299	156883	ECK0140	putative fimbrial protein YadN	yadN // b0141 // ECK0140	EG12328					cell adhesion involved in single-species biofilm formation // cell adhesion	extracellular region // pilus		yadN
yjdP	b4487	4313868	4314197	ECK4084	protein YjdP	yjdP // b4487 // ECK4084	G0-9541								yjdP
xdhC	b2868	3003489	3003968	ECK2864	putative xanthine dehydrogenase [Fe-S]-binding subunit XdhC	xdhC // ygeU // b2868 // ECK2864	G7487					hypoxanthine catabolic process // purine ribonucleoside salvage // purine nucleobase metabolic process	cytoplasm // xanthine dehydrogenase complex // cytosol	oxidoreductase activity // 2 iron, 2 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding	xdhABC // xdhABC
pinE	b1158	1209685	1210239	ECK1144	e14 prophage; site-specific DNA recombinase	pinE // pin // b1158 // ECK1144	EG10737					DNA integration // DNA recombination	cytosol	ligase activity // hydrolase activity // DNA binding // DNA strand exchange activity	pinE
fsaA	b0825	863642	864304	ECK0815	fructose-6-phosphate aldolase 1	fsaA // ybiZ // fsa // mipB // b0825 // ECK0815	G6428					ketone catabolic process // fructose metabolic process // carbohydrate metabolic process	cytoplasm // cytosol	identical protein binding // aldehyde-lyase activity // lyase activity // fructose 6-phosphate aldolase activity	fsaA
ygaV	b2667	2797211	2797510	ECK2661	putative DNA-binding transcriptional regulator YgaV	ygaV // b2667 // ECK2661	G7397					regulation of DNA-templated transcription	cytosol	DNA-binding transcription factor activity // DNA binding	ygaVP
rcsA	b1951	2023968	2024591	ECK1949	DNA-binding transcriptional activator RcsA	rcsA // cpsR // b1951 // ECK1949	EG10820	wcaB // wcaA // wzc // wzb // wza // rcsA // yjbH // yjbG // yjbF // yjbE	b2058 // b2059 // b2060 // b2061 // b2062 // b1951 // b4029 // b4028 // b4027 // b4026	flhC // flhD // csgG // csgF // csgE // csgD	b1891 // b1892 // b1037 // b1038 // b1039 // b1040	positive regulation of DNA-templated transcription // negative regulation of DNA-templated transcription // regulation of bacterial-type flagellum-dependent cell motility // regulation of capsule organization // regulation of DNA-templated transcription // DNA-templated transcription	transcription regulator complex // cytosol	DNA binding	rcsA
yjjG	b4374	4608646	4609323	ECK4365	pyrimidine 5'-nucleotidase YjjG	yjjG // b4374 // ECK4365	EG12115					thymine metabolic process // pyrimidine nucleobase salvage // response to xenobiotic stimulus	plasma membrane // cytoplasm // cytosol	5'-deoxynucleotidase activity // thymidylate 5'-phosphatase activity // XMP 5'-nucleosidase activity // metal ion binding // hydrolase activity // phosphatase activity // nucleotide binding // manganese ion binding // 5'-nucleotidase activity	holD-rimI-yjjG
ytjE	b4824	4640718	4640771	ECK4681	protein YtjE	ytjE // b4824 // ECK4681	G0-17098								
epmC	b2326	2444203	2444751	ECK2320	EF-P-Lys34 hydroxylase	epmC // yfcM // b2326 // ECK2320	G7201					post-translational protein modification	cytosol	monooxygenase activity // metal ion binding // oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	prmB-aroC-mepA-yfcA-epmC-yfcL
yceF	b1087	1146011	1146595	ECK1072	m<sup>7</sup>GTP pyrophosphatase	yceF // b1087 // ECK1072	EG11438					nucleotide metabolic process	cytoplasm // cytosol	hydrolase activity // pyrophosphatase activity // nucleoside triphosphate diphosphatase activity	yceF
yfcP	b2333	2450051	2450590	ECK2327	putative fimbrial protein YfcP	yfcP // b2333 // ECK2327	G7204					cell adhesion involved in single-species biofilm formation // cell adhesion	extracellular region // pilus		yfcUSRQPO
naRNA6		4325805	4325881		naRNA6	naRNA6	G0-16699								
xdhD	b2881	3021316	3024186	ECK2877	fused putative xanthine/hypoxanthine oxidase: molybdopterin-binding subunit and Fe-S binding subunit	xdhD // ygfN // b2881 // ECK2877	G7500					purine ribonucleoside salvage // purine nucleobase metabolic process	plasma membrane	metal ion binding // 2 iron, 2 sulfur cluster binding // oxidoreductase activity // iron ion binding	ygfM-xdhD
dicA	b1570	1647934	1648341	ECK1564	DNA-binding transcriptional dual regulator DicA	dicA // ftsT // b1570 // ECK1564	EG10226	dicA	b1570	dicC // ydfX // ydfW // intQ // insD7 // ydfE // ydfD // dicB	b1569 // b1568 // b1567 // b1579 // b1578 // b1577 // b1576 // b1575	cell division // DNA-templated transcription	cytosol	DNA binding	dicA
glsB	b1524	1612325	1613251	ECK1517	glutaminase 2	glsB // yneH // b1524 // ECK1517	G6810					glutamate biosynthetic process // glutamine metabolic process // negative regulation of growth // glutamine catabolic process	plasma membrane	hydrolase activity // protein homodimerization activity // glutaminase activity	sad-glsB-yneG // glsB-yneG
comR	b1111	1168200	1168832	ECK1097	DNA-binding transcriptional repressor ComR	comR // ycfQ // b1111 // ECK1097	G6569			bhsA	b1112	regulation of biosynthetic process // regulation of primary metabolic process // regulation of DNA-templated transcription // response to copper ion // negative regulation of DNA-templated transcription	cytosol	DNA-binding transcription factor activity // transcription cis-regulatory region binding // DNA binding	comR
wcaF	b2054	2128340	2128888	ECK2048	colanic acid biosynthesis acetyltransferase WcaF	wcaF // b2054 // ECK2048	G7099					slime layer polysaccharide biosynthetic process // lipopolysaccharide biosynthetic process // colanic acid biosynthetic process // single-species biofilm formation	cytosol	acyltransferase activity, transferring groups other than amino-acyl groups // O-acyltransferase activity // transferase activity // acyltransferase activity // O-acetyltransferase activity	wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC
xdhA	b2866	3000345	3002603	ECK2862	putative xanthine dehydrogenase molybdenum-binding subunit XdhA	xdhA // ygeS // b2866 // ECK2862	G7485					hypoxanthine catabolic process // purine ribonucleoside salvage // purine nucleobase metabolic process	cytoplasm // xanthine dehydrogenase complex // cytosol	iron ion binding // metal ion binding // oxidoreductase activity // xanthine dehydrogenase activity	xdhABC // xdhABC
micL	b4717	1958441	1958747	ECK4574	small regulatory RNA MicL	micL // slrA // ryeF // b4717 // ECK4574	G0-16601					negative regulation of bacterial-type flagellum-dependent cell motility // sRNA-mediated post-transcriptional gene silencing		protein binding // mRNA binding	micL
citX	b0614	647484	648035	ECK0607	apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	citX // ybdU // b0614 // ECK0607	G6340					prosthetic group biosynthetic process // protein-phosphoribosyl dephospho-coenzyme A linkage	cytosol	nucleotidyltransferase activity // holo-citrate lyase synthase activity	citCDEFXG // citCDEFXG
ycaK	b0901	949668	950258	ECK0892	putative oxidoreductase YcaK	ycaK // b0901 // ECK0892	EG12702						cytosol	NAD(P)H dehydrogenase (quinone) activity // oxidoreductase activity // FMN binding	ycaK
ppdD	b0108	117109	117549	ECK0107	prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD	ppdD // b0108 // ECK0107	EG12107					type IV pilus-dependent motility	extracellular region // membrane // type IV pilus // pilus		ppdD-hofBC
insJK		3720680	3722049		IS150 protein InsAB	insJK	G0-10624					DNA transposition		transposase activity	
xdhB	b2867	3002614	3003492	ECK2863	putative xanthine dehydrogenase FAD-binding subunit XdhB	xdhB // ygeT // b2867 // ECK2863	G7486					hypoxanthine catabolic process // purine ribonucleoside salvage // purine nucleobase metabolic process	cytoplasm // xanthine dehydrogenase complex // cytosol	FAD binding // oxidoreductase activity // xanthine dehydrogenase activity	xdhABC // xdhABC
lfgA	b2643	2775919	2776377	ECK2639	CP4-57 prophage; putative antirestriction protein	lfgA // yfjX // b2643 // ECK2639	G7378						cytosol		lfgABCDE
ycaC	b0897	944931	945557	ECK0888	putative hydrolase YcaC	ycaC // b0897 // ECK0888	EG11241						membrane // cytosol	lyase activity // hydrolase activity // identical protein binding	ycaC
puuR	b1299	1361911	1362468	ECK1294	DNA-binding transcriptional repressor PuuR	puuR // ycjC // b1299 // ECK1294	EG12431			ymjE // puuP // puuA // puuE // puuB // puuC // puuR // puuD	b4742 // b1296 // b1297 // b1302 // b1301 // b1300 // b1299 // b1298	regulation of DNA-templated transcription // putrescine catabolic process // DNA-templated transcription	cytosol	DNA-binding transcription factor activity // DNA binding	puuDRCBE
wcaL	b2044	2115907	2117127	ECK2038	putative colanic acid biosynthesis glycosyl transferase WcaL	wcaL // yefL // b2044 // ECK2038	G7095					slime layer polysaccharide biosynthetic process // lipopolysaccharide biosynthetic process // colanic acid metabolic process	cytosol	glycosyltransferase activity	wcaKLM
nudC	b3996	4196903	4197676	ECK3988	RNA decapping hydrolase	nudC // yjaD // b3996 // ECK3988	EG11702					NAD-cap decapping // mRNA stabilization // NAD catabolic process // NADP catabolic process // NADH metabolic process // mRNA catabolic process	cytosol	RNA NAD-cap (NMN-forming) hydrolase activity // magnesium ion binding // metal ion binding // hydrolase activity // NAD+ diphosphatase activity // zinc ion binding // protein homodimerization activity // NADH pyrophosphatase activity // manganese ion binding	nudC-hemE-nfi
ybcI	b0527	556032	556553	ECK0520	PF04307 family inner membrane protein YbcI	ybcI // b0527 // ECK0520	EG12708						plasma membrane		ybcI
map	b0168	188712	189506	ECK0166	methionine aminopeptidase	map // b0168 // ECK0166	EG10570					proteolysis	cytosol	transition metal ion binding // initiator methionyl aminopeptidase activity // metalloexopeptidase activity // metal ion binding // aminopeptidase activity // ribosome binding // ferrous iron binding // metalloaminopeptidase activity	map-glnD-dapD
qorB	b4211	4433164	4434024	ECK4207	NAD(P)H:quinone oxidoreductase	qorB // ytfG // b4211 // ECK4207	G7868						cytosol	NADPH dehydrogenase (quinone) activity // NADH:ubiquinone reductase (non-electrogenic) activity // oxidoreductase activity // NAD(P)H dehydrogenase (quinone) activity // oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	qorB
yehA	b2108	2187380	2188414	ECK2101	putative fimbrial adhesin YehA	yehA // b2108 // ECK2101	EG11987					cell adhesion // cell adhesion involved in single-species biofilm formation	pilus		yehDCBA
yiaW	b3587	3754105	3754428	ECK3576	DUF3302 domain-containing protein YiaW	yiaW // b3587 // ECK3576	EG12291						plasma membrane		yiaWV
yffS	b2450	2564523	2565332	ECK2445	CPZ-55 prophage; uncharacterized protein YffS	yffS // b2450 // ECK2445	G7280						cytosol	DNA binding	yffS
ynbA	b1408	1477621	1478226	ECK1401	CDP-alcohol phosphatidyltransferase domain-containing protein YnbA	ynbA // b1408 // ECK1401	G6727					phospholipid biosynthetic process	membrane // plasma membrane	phosphotransferase activity, for other substituted phosphate groups	ynbABCD
sspA	b3229	3376782	3377420	ECK3218	stringent starvation protein A	sspA // ssp // pog // b3229 // ECK3218	EG10977					response to starvation // positive regulation of DNA-templated transcription // response to stress	cytoplasm // cytosol	protein binding // bacterial-type RNA polymerase core enzyme binding	sspAB
wcaI	b2050	2124523	2125746	ECK2044	colanic acid biosynthesis fucosyltransferase WcaI	wcaI // yefD // b2050 // ECK2044	EG11790					slime layer polysaccharide biosynthetic process // lipopolysaccharide biosynthetic process // colanic acid biosynthetic process	cytosol	transferase activity // alpha-(1->3)-fucosyltransferase activity // glycosyltransferase activity	wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC
yejG	b2181	2277893	2278237	ECK2175	protein YejG	yejG // b2181 // ECK2175	EG12042							protein binding	yejG // yejG
ppsR	b1703	1787445	1788278	ECK1701	phosphoenolpyruvate synthetase regulatory protein	ppsR // ydiA // b1703 // ECK1701	EG11132					protein dephosphorylation // protein phosphorylation // phosphorylation // protein homotetramerization	protein-containing complex // cytosol	ADP binding // phosphotransferase activity, phosphate group as acceptor // transferase activity, transferring phosphorus-containing groups // protein serine/threonine kinase activity // ATP binding // protein binding // nucleotide binding // enzyme regulator activity	ppsR
yibQ	b3614	3788101	3789060	ECK3604	divergent polysaccharide deacetylase domain-containing protein YibQ	yibQ // b3614 // ECK3604	EG12298					carbohydrate metabolic process			gpmM-envC-yibQ // gpmM-envC-yibQ
elfG	b0941	1001807	1002877	ECK0932	putative fimbrial-like adhesin protein	elfG // ycbT // b0941 // ECK0932	G6483					cell adhesion // response to radiation // cell adhesion involved in single-species biofilm formation	extracellular region // pilus		elfDCG-ycbUVF
yjaG	b3999	4199504	4200094	ECK3991	DUF416 domain-containing protein YjaG	yjaG // b3999 // ECK3991	EG11916						cytosol		yjaG
yfdM	b2356	2472112	2472387	ECK2350	CPS-53 (KpLE1) prophage; putative methyltransferase YfdM	yfdM // yzyB // b2356 // ECK2350	G7225					DNA restriction-modification system // methylation // viral process		methyltransferase activity // site-specific DNA-methyltransferase (adenine-specific) activity // DNA binding	yfdONMLK
kefG	b3351	3480607	3481161	ECK3339	glutathione-regulated potassium-efflux system ancillary protein KefG	kefG // yheR // b3351 // ECK3339	G7717					positive regulation of ion transmembrane transporter activity // regulation of intracellular pH // potassium ion transport // positive regulation of potassium ion transmembrane transport	potassium:proton antiporter complex // plasma membrane // cytosol	NADPH dehydrogenase (quinone) activity // NADH:ubiquinone reductase (non-electrogenic) activity // FMN binding // electron transfer activity // oxidoreductase activity // NAD(P)H dehydrogenase (quinone) activity	kefGB-yheV
yfaX	b2248	2361429	2362211	ECK2241	putative DNA-binding transcriptional regulator YfaX	yfaX // b2248 // ECK2241	G7161					negative regulation of DNA-templated transcription // regulation of DNA-templated transcription // DNA-templated transcription	cytosol	DNA-binding transcription factor activity // protein binding // DNA binding	yfaXWVU // yfaX-rhmD
wzb	b2061	2135655	2136098	ECK2055	protein-tyrosine phosphatase	wzb // b2061 // ECK2055	G7106					protein dephosphorylation // polysaccharide biosynthetic process // colanic acid biosynthetic process	cytosol	phosphoprotein phosphatase activity // protein tyrosine phosphatase activity	wzbc // wza-wzb-wzc-wcaAB
yieE	b3712	3893881	3894630	ECK3705	putative phosphopantetheinyl transferase	yieE // b3712 // ECK3705	EG11722					lysine biosynthetic process via aminoadipic acid	cytosol	holo-[acyl-carrier-protein] synthase activity // magnesium ion binding	yieEF
yjjW	b4379	4614680	4615543	ECK4371	putative glycyl-radical enzyme activating enzyme YjjW	yjjW // b4379 // ECK4371	G7953						cytosol	protein binding // oxidoreductase activity // 4 iron, 4 sulfur cluster binding // metal ion binding	yjjW
